product_code,product_name
Baby_Food_10000239,美赞臣安婴儿A+1段奶粉（0-6个月）
Baby_Food_10000240,美赞臣安婴儿A+1段奶粉（0-6个月）
Baby_Food_10000241,美赞臣安婴儿A+1段奶粉（0-6个月）
Baby_Food_10000242,美赞臣安婴宝A+2段奶粉（6-12个月）
Baby_Food_10000243,美赞臣安婴宝A+2段奶粉（6-12个月）
Baby_Food_10000244,美赞臣安婴妈妈A+奶粉
Baby_Food_10000245,美赞臣安婴妈妈A+奶粉
Baby_Food_10000246,美赞臣安儿宝A+3段奶粉超值三联包（1-3岁）
Baby_Food_10000247,美赞臣安儿健A+4段奶粉超值三联包（3-6岁）
Baby_Food_10000248,美赞臣安婴儿A+1段奶粉超值三联包（0-12个
Baby_Food_10000249,美赞臣安婴宝A+2段奶粉超值三联包（6-12个
Baby_Food_10000250,惠氏S-26原装进口金装爱儿复无乳糖配方奶粉（0-12个
Baby_Food_10000251,美素佳儿金装2段较大婴儿配方奶粉（6-12个月）
Baby_Food_10000252,美素佳儿金装3段幼儿成长配方奶粉（1-3岁）
Baby_Food_10000253,可瑞佳金装1段婴儿配方奶粉（0-12个月）
Baby_Food_10000254,可瑞佳金装2段较大婴儿和幼儿配方奶粉（6-24个月）
Baby_Food_10000255,可瑞康金装3段幼儿配方奶粉（1-3岁）
Baby_Food_10000256,多美滋金装优阶贝护1段婴儿配方奶粉（0-6个月）
Baby_Food_10000257,多美滋金装优阶贝护延续2段较大婴儿配方奶粉
Baby_Food_10000258,多美滋金装优阶3段幼儿配方奶粉
Baby_Food_10000259,多美滋金装优阶4段儿童配方奶粉
Baby_Food_10000260,多美滋金装优阶贝护1段婴儿配方奶粉四联包
Baby_Food_10000261,亨氏鸡肉蔬菜超值装米粉
Baby_Food_10000262,亨氏黑米红枣超值装米粉
Baby_Food_10000263,亨氏多口味装米粉
Baby_Food_10000264,惠氏罐装金装爱儿乐
Baby_Food_10000265,惠氏盒装金装爱儿乐
Baby_Food_10000266,惠氏罐装金装健儿乐
Baby_Food_10000267,惠氏盒装金装健儿乐
Baby_Food_10000268,惠氏罐装金装幼儿乐
Baby_Food_10000269,惠氏盒装金装幼儿乐
Baby_Food_10000270,惠氏罐装金装学儿乐
Baby_Food_10000271,惠氏盒装金装学儿乐
Baby_Food_10000272,惠氏启赋1段婴儿配方奶粉(0-12个月婴儿)
Baby_Food_10000273,惠氏启赋2段婴儿配方奶粉(6-18个月婴幼儿)
Baby_Food_10000274,惠氏启赋3段幼儿配方奶粉(12-36个月幼儿)
Baby_Powder_10000001,贝亲婴儿祛痱粉
Baby_Powder_10000002,强生婴儿热痱粉
Baby_Powder_10000003,强生婴儿清凉爽身粉
Baby_Powder_10000004,贝亲盒装婴儿爽身粉
Baby_Powder_10000005,贝亲婴儿爽身粉
Bathroom_Tissue_10000001,奔月方巾纸
Bathroom_Tissue_10000002,大地方巾纸
Bathroom_Tissue_10000003,好家风高级卫生卷纸
